ID	Paragraf	Hovedområde	Aktivitetsområde	Hovedkonto	Underkonto	Standardkonto	R 2002	B 2003	F 2004	BO 1 2005	BO 2 2006	BO 3 2007
4213012093	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Løbende konti (+ = nettotræk)	Ændring af mellemvær. med Danm. Nationalbank	6871.8	-13934.8	-3922.0	0.0	0.0	0.0
4213011093	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Restancer vedrørende løbende konti i DN	Ændring af mellemvær. med Danm. Nationalbank	-540.0	0.0	0.0	0.0	0.0	0.0
4212015083	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Emissionskurstab	Tilgang af andre finansielle aktiver	45.3	11.2	11.2	0.0	0.0	0.0
4212014082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Køb og amortisation af obligationer m.v.	Erhvervelse af værdipapirer	51.0	0.0	0.0	0.0	0.0	0.0
4212014086	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Køb og amortisation af obligationer m.v.	Afhændelse og indfrielse af værdipapirer	-51.0	0.0	0.0	0.0	0.0	0.0
4212013588	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursreg. k. statsgæld	Forøgelse af finansiel gæld	0.2	0.0	0.0	0.0	0.0	0.0
4212013084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Nedbringelse af finansiel gæld	1738.1	0.0	0.0	0.0	0.0	0.0
4212013088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Forøgelse af finansiel gæld	-1738.8	0.0	0.0	0.0	0.0	0.0
4212011588	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursregulering lang sg	Forøgelse af finansiel gæld	-132.9	0.0	0.0	0.0	0.0	0.0
4212011084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Nedbringelse af finansiel gæld	22482.5	17095.8	15980.0	0.0	0.0	0.0
4212011088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Forøgelse af finansiel gæld	-22417.2	-17106.2	-15991.2	0.0	0.0	0.0
4211017088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Ikke fordelt låntagning	Forøgelse af finansiel gæld	0.0	29.4	362.6	0.0	0.0	0.0
4211016082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Erhvervelse af værdipapirer	24325.6	13261.9	8375.3	0.0	0.0	0.0
4211016086	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Afhændelse og indfrielse af værdipapirer	-23668.1	-13916.0	-8199.3	0.0	0.0	0.0
4211015083	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Emissionskurstab	Tilgang af andre finansielle aktiver	3726.9	1836.9	2374.2	0.0	0.0	0.0
4211014082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Erhvervelse af værdipapirer	38893.8	0.0	0.0	0.0	0.0	0.0
4211014086	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Afhændelse og indfrielse af værdipapirer	-38893.8	0.0	0.0	0.0	0.0	0.0
4211013584	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Nedbringelse af finansiel gæld	11400.0	0.0	0.0	0.0	0.0	0.0
4211013084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Nedbringelse af finansiel gæld	69038.0	77313.9	86947.1	0.0	0.0	0.0
4211013088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Forøgelse af finansiel gæld	-83218.0	-79348.4	-88582.8	0.0	0.0	0.0
4211012084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Nedbringelse af finansiel gæld	34100.0	36688.0	43382.0	0.0	0.0	0.0
4211012088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Forøgelse af finansiel gæld	-42683.0	-38892.5	-35004.4	0.0	0.0	0.0
4211011084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Nedbringelse af finansiel gæld	66215.8	54418.8	49109.8	0.0	0.0	0.0
4211011088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Forøgelse af finansiel gæld	-68779.0	-47420.2	-52637.2	0.0	0.0	0.0
4131011084	Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Nedbringelse af finansiel gæld	2304.1	905.2	1412.0	0.0	0.0	0.0
4131011088	Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Forøgelse af finansiel gæld	-1653.9	-997.8	-1392.3	0.0	0.0	0.0
4122011098	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Regnskabstekniske konti	-240.7	0.0	0.0	0.0	0.0	0.0
4121031098	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Mellemregning med fonde	Mellemregning med fonde	Regnskabstekniske konti	306.6	0.0	0.0	0.0	0.0	0.0
4121021095	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Per.forskyd. vedr statens ind og udbetalinger	Periodeforskydninger	Ændring af kortfristet tilgodeh. (debitorer)	0.0	4100.0	0.0	0.0	0.0	0.0
4121017071	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Statens Forsknings- og Udd.bygn.	Interne statslige overførselsudgifter	0.0	0.0	525.8	0.0	0.0	0.0
4121017076	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Statens Forsknings- og Udd.bygn.	Interne statslige overførselsindtægter	0.0	0.0	-160.6	0.0	0.0	0.0
4121016071	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Slots- og Ejendomsstyrelsen	Interne statslige overførselsudgifter	0.0	0.0	156.8	0.0	0.0	0.0
4121016076	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Slots- og Ejendomsstyrelsen	Interne statslige overførselsindtægter	0.0	0.0	-162.1	0.0	0.0	0.0
4121014097	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensæt vedr. afgivne statsforskrivninger	Ændring af kortfristet gæld (kreditorer)	-24.1	527.3	531.4	0.0	0.0	0.0
4121013097	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensæt. vedr afgivne tilsagn	Ændring af kortfristet gæld (kreditorer)	-1822.1	2402.3	2686.7	0.0	0.0	0.0
4121012597	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Passiver vedr. Eksport Kredit Fonden	Ændring af kortfristet gæld (kreditorer)	-11.3	0.0	0.0	0.0	0.0	0.0
4121012097	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Passiver (+ = forøgelse)	Ændring af kortfristet gæld (kreditorer)	2887.0	0.0	0.0	0.0	0.0	0.0
4121012098	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Passiver (+ = forøgelse)	Regnskabstekniske konti	-9.0	0.0	0.0	0.0	0.0	0.0
4121011596	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver vedrørende interventionslagre, EU	Ændring af øvrige kortfristede tilgodehav.	20.8	42.8	43.7	0.0	0.0	0.0
4121011295	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver vedr. Danmarks Erhvervsfond	Ændring af kortfristet tilgodeh. (debitorer)	125.9	0.0	0.0	0.0	0.0	0.0
4121011091	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver (+ = formindskelse)	Ændring af kontantkasser	-0.3	0.0	0.0	0.0	0.0	0.0
4121011092	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver (+ = formindskelse)	Ændring af indenlandske girokonti	1936.5	0.0	0.0	0.0	0.0	0.0
