Paragraf	Hovedområde	Aktivitetsområde	Hovedkonto	Underkonto	Standardkonto	R 2005	B 2006	F 2007	BO 1 2008	BO 2 2009	BO 3 2010
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Statsgæld indland, afgang	2209.6	11366.9	20174.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Statsgæld indland, tilgang	-75039.0	-87915.7	-65001.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Statsgæld indland, afgang	83549.0	86165.3	63196.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Statsgæld indland, tilgang	-3660.0	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Statsgæld indland, afgang	41370.0	38080.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Statsgæld indland, tilgang	-34790.0	-20035.8	-4.9	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Statsgæld indland, afgang	75228.8	29496.8	35760.3	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Afdrag vedr. strukturreformen	Afdrag på langfristet gæld	Prioritetsgæld og anden langfr. gæld, afgang	0.0	0.0	1276.1	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	kontantafregning, afgivende myndigheder	Kontantudligning	Ekstraordinære omkostninger	0.0	0.0	5307.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	tjenestemandspensionsforpligtelser	Hensættelser	Ekstraordinære omkostninger	0.0	0.0	748.4	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	tjenestemandspensionsforpligtelser	Hensættelser	Hensættelser vedr. afgivne tilsagn mv.	0.0	0.0	-748.4	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Tilgang af passiver	Kortfristet gæld	Ekstraordinære omkostninger	0.0	0.0	2.1	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Tilgang af passiver	Kortfristet gæld	Anden kortfristet gæld	0.0	0.0	-2.1	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Tilgang af passiver	Langfristet gæld	Ekstraordinære omkostninger	0.0	0.0	1637.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Tilgang af passiver	Langfristet gæld	Prioritetsgæld og anden langfr. gæld, tilgang	0.0	0.0	-1637.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Omsætningsaktiver	Ekstraordinære indtægter	0.0	0.0	-597.7	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Omsætningsaktiver	Tilgodehavender	0.0	0.0	597.7	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Anlægsaktiver	Ekstraordinære indtægter	0.0	0.0	-9380.7	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Anlægsaktiver	Anlægsaktiver (anskaffelser)	0.0	0.0	9380.7	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Valutakursreg. på udenl. genudlån	Udenlandske genudlån	Statslige udlån, tilgang	6.2	8.0	4.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Valutakursreg. på udenl. genudlån	Udenlandske genudlån	Statslige udlån, afgang	0.0	0.0	10.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Finansielle indtægter	-1504.5	-1866.7	-512.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Finansielle omkostninger	1550.4	1834.3	464.4	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Likvide beholdninger	2170.7	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Systemtekn. mellemregn.- og afstemningskonti	-22.3	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Neutralisering af igangværende byggearbejder	Genudlån til Ejendomsadministration	Interne statslige overførselsindtægter	-420.4	-377.1	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Neutralisering af igangværende byggearbejder	Genudlån til Ejendomsadministration	Interne statslige overførselsudgifter	715.3	572.4	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Neutralisering af igangværende byggearbejder	Genudlån til Slots- og Ejendomsstyrrelsen	Interne statslige overførselsindtægter	-99.8	-38.9	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Neutralisering af igangværende byggearbejder	Genudlån til Slots- og Ejendomsstyrrelsen	Interne statslige overførselsudgifter	216.2	27.4	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Mellemregning med fonde	Mellemregning med fonde	Systemtekn. mellemregn.- og afstemningskonti	117.8	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensæt vedr. afgivne statsforskrivninger	Anden kortfristet gæld	287.1	90.0	94.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Kortfristet gæld	Anden kortfristet gæld	-1812.7	0.0	-20.5	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Kortfristet gæld	Systemtekn. mellemregn.- og afstemningskonti	2.9	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensæt. vedr afgivne tilsagn	Anden kortfristet gæld	-1776.9	2345.6	2021.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Egenkapital	Anden kortfristet gæld	2738.3	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Egenkapital	Systemtekn. mellemregn.- og afstemningskonti	-13.7	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Omsætningsaktiver	Varebeholdninger	116.7	-86.1	-138.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Omsætningsaktiver	Tilgodehavender	-7115.6	-654.5	-332.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Omsætningsaktiver	Likvide beholdninger	5695.8	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Anlægsaktiver	Systemtekn. mellemregn.- og afstemningskonti	78.3	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Forebyggelsesfonden	Tilgodehavender	0.0	0.0	17.9	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Finansieringsfonden	Tilgodehavender	5.2	0.0	1.5	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Højteknologifonden	Tilgodehavender	11.4	0.0	12.9	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Den Sociale Pensionsfond	Tilgodehavender	-1177.5	1088.3	-60.2	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Den Sociale Pensionsfond	Anden kortfristet gæld	0.0	-1275.7	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Udenlandske genudlån	Tilgodehavender	27.8	52.2	-1.5	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Udenlandske genudlån	Anden kortfristet gæld	0.0	-12.5	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Indenlandske genudlån	Tilgodehavender	-4.9	183.4	-5.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Indenlandske genudlån	Anden kortfristet gæld	0.0	-243.8	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Udenlandsk statsgæld	Tilgodehavender	0.0	212.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Udenlandsk statsgæld	Anden kortfristet gæld	94.0	-126.4	-291.4	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Indenlandsk statsgæld	Tilgodehavender	0.0	4065.8	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Indenlandsk statsgæld	Anden kortfristet gæld	2367.8	-2066.8	210.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Nedskrivning af emissionskurstab	Fordelte emissionskurstab	Indenlandske genudlån	Emmissionskurstab, afgang	-230.0	-208.3	-260.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Nedskrivning af emissionskurstab	Fordelte emissionskurstab	Udenlandsk statsgæld	Emmissionskurstab, afgang	-75.9	-56.9	-47.1	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Nedskrivning af emissionskurstab	Fordelte emissionskurstab	Indenlandsk statsgæld	Emmissionskurstab, afgang	-354.5	-599.7	-696.8	0.0	0.0	0.0
Genudlån m.v.	Afvikling af Hypotekbanken	Afvikling af Hypotekbanken	Administration af Hypotekbankens afvikling	Overtagen gæld	Prioritetsgæld og anden langfr. gæld, afgang	0.0	213.0	0.0	0.0	0.0	0.0
Genudlån m.v.	Afvikling af Hypotekbanken	Afvikling af Hypotekbanken	Administration af Hypotekbankens afvikling	Overtagne udlån	Statslige udlån, afgang	0.0	-138.0	-866.0	0.0	0.0	0.0
Genudlån m.v.	Ordningen om nettoinvesteringer	Ordningen om selvstændig likviditets nettoinv	Ordningen om selvstændig likviditets nettoinv	Huslejeordningens nettoinvesteringer	Likvide beholdninger	0.0	0.0	-359.7	0.0	0.0	0.0
Genudlån m.v.	Ordningen om nettoinvesteringer	Ordningen om selvstændig likviditets nettoinv	Ordningen om selvstændig likviditets nettoinv	Institutionernes nettoinvesteringer	Likvide beholdninger	5.5	297.8	1743.1	0.0	0.0	0.0
Genudlån m.v.	Ordningen om nettoinvesteringer	Ordningen om selvstændig likviditets nettoinv	Ordningen om selvstændig likviditets nettoinv	Institutionernes nettoinvesteringer	Anden kortfristet gæld	30.7	0.0	0.0	0.0	0.0	0.0
Genudlån m.v.	Inkonverterbare realkreditlån	Inkonverterbare realkreditlån	Adm. af inkonverterbare realkreditlån	Overtagen gæld	Prioritetsgæld og anden langfr. gæld, tilgang	-255.2	-250.0	-150.0	0.0	0.0	0.0
Genudlån m.v.	Inkonverterbare realkreditlån	Inkonverterbare realkreditlån	Adm. af inkonverterbare realkreditlån	Overtagen gæld	Prioritetsgæld og anden langfr. gæld, afgang	35.3	133.0	50.0	0.0	0.0	0.0
Genudlån m.v.	Inkonverterbare realkreditlån	Inkonverterbare realkreditlån	Adm. af inkonverterbare realkreditlån	Opkøb af obligationer	Værdipapirer, tilgang	137.1	200.0	175.0	0.0	0.0	0.0
Genudlån m.v.	Inkonverterbare realkreditlån	Inkonverterbare realkreditlån	Adm. af inkonverterbare realkreditlån	Opkøb af obligationer	Værdipapirer, afgang	-27.6	-135.0	-50.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Udenl. genudl. til Danmarks Skibskreditfond	Ikke-realiserede valutakursreguleringer	Statslige udlån, afgang	-48.5	0.0	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Udenl. genudl. til Danmarks Skibskreditfond	Genudlån Skibskreditfonden	Statslige udlån, tilgang	2250.3	3350.9	720.2	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Udenl. genudl. til Danmarks Skibskreditfond	Genudlån Skibskreditfonden	Statslige udlån, afgang	-51.2	-275.8	-528.2	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Nordsøfonden	Genudlån til Nordsøfonden	Statslige udlån, tilgang	0.0	0.0	228.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til statslige ejendomsvirksomheder	Genudlån til Ejendomsadministration	Statslige udlån, tilgang	430.4	377.1	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til statslige ejendomsvirksomheder	Genudlån til Ejendomsadministration	Statslige udlån, afgang	-479.9	-434.3	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til statslige ejendomsvirksomheder	Genudlån til Slots- og Ejendomsstyrelsen	Statslige udlån, tilgang	102.8	53.4	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til statslige ejendomsvirksomheder	Genudlån til Slots- og Ejendomsstyrelsen	Statslige udlån, afgang	-21.6	-7.0	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån Energinet.dk	Genudlån Energinet.dk	Statslige udlån, tilgang	0.0	0.0	500.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Øresundsforbindelsen A/S	Genudlån til Øresundsforbindelsen A/S	Statslige udlån, tilgang	800.0	300.0	1900.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Øresundsforbindelsen A/S	Genudlån til Øresundsforbindelsen A/S	Statslige udlån, afgang	0.0	-500.0	-1500.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Øresundsforbindelsen A/S	Genudlån til Øresundsforbindelsen A/S	Emmissionskurstab, tilgang	174.8	0.0	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til A/S Storebælt	Genudlån til A/S Storebælt	Statslige udlån, tilgang	500.0	2000.0	3000.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til A/S Storebælt	Genudlån til A/S Storebælt	Statslige udlån, afgang	0.0	0.0	-500.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til A/S Storebælt	Genudlån til A/S Storebælt	Emmissionskurstab, tilgang	28.1	0.0	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Arealudviklingsselskabet I/S	Genudlån til Arealudviklingsselskabet I/S	Statslige udlån, tilgang	1500.0	1500.0	400.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Arealudviklingsselskabet I/S	Genudlån til Arealudviklingsselskabet I/S	Statslige udlån, afgang	-1079.7	-700.0	-3000.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Arealudviklingsselskabet I/S	Genudlån til Arealudviklingsselskabet I/S	Emmissionskurstab, tilgang	83.1	0.0	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Statslån til Landsbyggefonden, Velfærdsm.	Genudlån, Økonomistyrelsen	Statslige udlån, tilgang	0.0	0.0	298.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Socialministeriet	Genudlån	Statslige udlån, tilgang	18.9	43.5	29.6	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Mellemregning med Min FLF	Mellemregning m. FødevareErhverv refinan.ordn	Statslige udlån, tilgang	16.1	16.2	16.2	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Mellemregning med Min FLF	Mellemregning m. FødevareErhverv refinan.ordn	Statslige udlån, afgang	-135.5	-87.1	-61.2	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån af indfriede statsg. studielån	Studielån	Statslige udlån, tilgang	8.1	10.0	5.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån af indfriede statsg. studielån	Studielån	Statslige udlån, afgang	-71.1	-80.0	-80.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til SU-Styrelsen	Genudlån	Statslige udlån, tilgang	2249.2	2525.0	2243.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til SU-Styrelsen	Genudlån	Statslige udlån, afgang	-1436.3	-1475.0	-1690.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Færøernes Landsstyre	Genudlån til Færøernes Landsstyre, ØS	Statslige udlån, afgang	-1574.7	0.0	0.0	0.0	0.0	0.0
Genudlån m.v.	Genudlån af statslån	Genudlån af statslån	Genudlån til Danmarks Radio	Genudlån til Danmarks Radio	Statslige udlån, tilgang	0.0	0.0	1800.0	0.0	0.0	0.0
Genudlån m.v.	Køb m.v. af obligationer	Finansministeriet	Økonomistyrelsen	Køb af obligationer	Værdipapirer, tilgang	0.0	0.1	0.1	0.0	0.0	0.0
Genudlån m.v.	Køb m.v. af obligationer	Finansministeriet	Økonomistyrelsen	Køb af obligationer	Værdipapirer, afgang	-0.0	-0.1	-0.1	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overført til ISM	Overført til ISM	Skatter og afgifter	0.0	-30.0	0.0	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overført til ISM	Overført til ISM	Interne statslige overførselsindtægter	8.1	50.0	20.0	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overf. til FVM og MIM vedr. pesticidafg.ordn.	Reservekonto	Interne statslige overførselsindtægter	8.0	0.0	0.0	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overf. til FVM og MIM vedr. pesticidafg.ordn.	Reservekonto	Interne statslige overførselsudgifter	0.0	6.6	3.1	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overf. til FVM og MIM vedr. pesticidafg.ordn.	Overførsel til Fødevaremin. og Miljømin.	Interne statslige overførselsindtægter	51.1	0.0	0.0	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overf. til FVM og MIM vedr. pesticidafg.ordn.	Overførsel til Fødevaremin. og Miljømin.	Interne statslige overførselsudgifter	0.0	51.9	53.2	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overf. til FVM og MIM vedr. pesticidafg.ordn.	Overførsel til Ministeriet for Fødevarer, Lan	Interne statslige overførselsindtægter	13.3	0.0	0.0	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overf. til FVM og MIM vedr. pesticidafg.ordn.	Overførsel til Ministeriet for Fødevarer, Lan	Interne statslige overførselsudgifter	0.0	13.5	13.8	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overf. til FVM og MIM vedr. pesticidafg.ordn.	Overførsel til Ministeriet for Fødevarer, Lan	Interne statslige overførselsindtægter	352.7	0.0	0.0	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overf. til FVM og MIM vedr. pesticidafg.ordn.	Overførsel til Ministeriet for Fødevarer, Lan	Interne statslige overførselsudgifter	0.0	350.8	341.6	0.0	0.0	0.0
Skatter og afgifter	Overførsel til andre paragraffer	Overførsel til andre paragraffer	Overførsel til Arbejdsmarkedsfonden	Tilbageførsel af grønne afgifter til # 34	Interne statslige overførselsindtægter	4132.0	4297.0	4486.0	0.0	0.0	0.0
Skatter og afgifter	Renteindtægter m.v.	Renteindtægter m.v.	Renteindtægter m.v.	Forrentning ved forh. af selskabsansættelser	Finansielle indtægter	-426.1	-350.0	-300.0	0.0	0.0	0.0
