ID	Paragraf	Hovedområde	Aktivitetsområde	Hovedkonto	Underkonto	Standardkonto	R 2003	B 2004	F 2005	BO 1 2006	BO 2 2007	BO 3 2008
4213012093	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Løbende konti (+ = nettotræk)	Ændring af mellemvær. med Danm. Nationalbank	-5778.5	-3922.0	0.0	0.0	0.0	0.0
4213011093	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Restancer vedrørende løbende konti i DN	Ændring af mellemvær. med Danm. Nationalbank	277.3	0.0	0.0	0.0	0.0	0.0
4212015083	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Emissionskurstab	Tilgang af andre finansielle aktiver	94.4	11.2	14.9	0.0	0.0	0.0
4212013588	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursreg. k. statsgæld	Forøgelse af finansiel gæld	-10.2	0.0	0.0	0.0	0.0	0.0
4212013084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Nedbringelse af finansiel gæld	149.9	0.0	0.0	0.0	0.0	0.0
4212013088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Forøgelse af finansiel gæld	-134.9	0.0	0.0	0.0	0.0	0.0
4212011588	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursregulering lang sg	Forøgelse af finansiel gæld	254.5	0.0	0.0	0.0	0.0	0.0
4212011084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Nedbringelse af finansiel gæld	17143.5	15980.0	14951.7	0.0	0.0	0.0
4212011088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Forøgelse af finansiel gæld	-17331.3	-15991.2	-17217.7	0.0	0.0	0.0
4211017088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Ikke fordelt låntagning	Forøgelse af finansiel gæld	0.0	362.6	-95.2	0.0	0.0	0.0
4211016282	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Finansieringsfond ved. Grundforskningsfond	Erhvervelse af værdipapirer	0.0	0.0	1000.0	0.0	0.0	0.0
4211016182	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Højteknologifonden	Erhvervelse af værdipapirer	0.0	0.0	3000.0	0.0	0.0	0.0
4211016082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Erhvervelse af værdipapirer	29266.7	8375.3	5662.2	0.0	0.0	0.0
4211016086	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Afhændelse og indfrielse af værdipapirer	-29170.8	-8199.3	-5955.6	0.0	0.0	0.0
4211015083	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Emissionskurstab	Tilgang af andre finansielle aktiver	-1824.7	2374.2	4200.8	0.0	0.0	0.0
4211014082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Erhvervelse af værdipapirer	41068.3	0.0	0.0	0.0	0.0	0.0
4211014086	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Afhændelse og indfrielse af værdipapirer	-41068.3	0.0	0.0	0.0	0.0	0.0
4211013584	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Nedbringelse af finansiel gæld	0.0	0.0	2337.6	0.0	0.0	0.0
4211013588	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Forøgelse af finansiel gæld	0.0	0.0	-6493.8	0.0	0.0	0.0
4211013084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Nedbringelse af finansiel gæld	80364.0	86947.1	90004.4	0.0	0.0	0.0
4211013088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Forøgelse af finansiel gæld	-84307.0	-88582.8	-91900.3	0.0	0.0	0.0
4211012084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Nedbringelse af finansiel gæld	36689.0	43382.0	35150.0	0.0	0.0	0.0
4211012088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Forøgelse af finansiel gæld	-35850.0	-35004.4	-25478.0	0.0	0.0	0.0
4211011084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Nedbringelse af finansiel gæld	69564.8	49109.8	54461.8	0.0	0.0	0.0
4211011088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Forøgelse af finansiel gæld	-52500.0	-52637.2	-44948.0	0.0	0.0	0.0
4131021081	Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Valutakursreg. på udenl. genudlån	Realiserede valutakursreguleringer	Udlån m.v.	0.0	0.0	6.0	0.0	0.0	0.0
4131011084	Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Nedbringelse af finansiel gæld	1395.1	1412.0	1302.2	0.0	0.0	0.0
4131011088	Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Forøgelse af finansiel gæld	-1412.7	-1392.3	-1312.5	0.0	0.0	0.0
4122011098	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Regnskabstekniske konti	325.9	0.0	0.0	0.0	0.0	0.0
