ID	Paragraf	Hovedområde	Aktivitetsområde	Hovedkonto	Underkonto	Standardkonto	R 2004	B 2005	F 2006	BO 1 2007	BO 2 2008	BO 3 2009
4213012093	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Løbende konti (+ = nettotræk)	Ændring af mellemvær. med Danm. Nationalbank	16321.7	0.0	-21823.7	0.0	0.0	0.0
4213011093	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Restancer vedrørende løbende konti i DN	Ændring af mellemvær. med Danm. Nationalbank	-4.8	0.0	0.0	0.0	0.0	0.0
4212015083	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Emissionskurstab	Tilgang af andre finansielle aktiver	85.7	14.9	12.0	0.0	0.0	0.0
4212014082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Køb og amortisation af obligationer m. v.	Erhvervelse af værdipapirer	1.4	0.0	0.0	0.0	0.0	0.0
4212014086	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Køb og amortisation af obligationer m. v.	Afhændelse og indfrielse af værdipapirer	-1.4	0.0	0.0	0.0	0.0	0.0
4212013588	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursreg. k. statsgæld	Forøgelse af finansiel gæld	3.6	0.0	0.0	0.0	0.0	0.0
4212013084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Nedbringelse af finansiel gæld	-21.1	0.0	0.0	0.0	0.0	0.0
4212013088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Forøgelse af finansiel gæld	2.6	0.0	0.0	0.0	0.0	0.0
4212011588	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursregulering lang sg	Forøgelse af finansiel gæld	-99.1	0.0	0.0	0.0	0.0	0.0
4212011084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Nedbringelse af finansiel gæld	16050.4	14951.7	12460.2	0.0	0.0	0.0
4212011088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Forøgelse af finansiel gæld	-16057.4	-17217.7	-11366.9	0.0	0.0	0.0
4211017088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Ikke fordelt låntagning	Forøgelse af finansiel gæld	0.0	-95.2	-238.6	0.0	0.0	0.0
4211016282	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Finansieringsfond ved. Grundforskningsfond	Erhvervelse af værdipapirer	0.0	1000.0	623.7	0.0	0.0	0.0
4211016182	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Højteknologifonden	Erhvervelse af værdipapirer	0.0	3000.0	1988.2	0.0	0.0	0.0
4211016082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Erhvervelse af værdipapirer	12963.2	5662.2	5075.4	0.0	0.0	0.0
4211016086	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Afhændelse og indfrielse af værdipapirer	-14655.1	-5955.6	-4779.2	0.0	0.0	0.0
4211015083	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Emissionskurstab	Tilgang af andre finansielle aktiver	2652.0	4200.8	1508.8	0.0	0.0	0.0
4211014082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Erhvervelse af værdipapirer	36731.0	0.0	0.0	0.0	0.0	0.0
4211014086	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Afhændelse og indfrielse af værdipapirer	-36731.0	0.0	0.0	0.0	0.0	0.0
4211013584	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Nedbringelse af finansiel gæld	524.2	2337.6	11366.9	0.0	0.0	0.0
4211013588	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Forøgelse af finansiel gæld	0.0	-6493.8	-2975.8	0.0	0.0	0.0
4211013084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Nedbringelse af finansiel gæld	86344.0	90004.4	86165.3	0.0	0.0	0.0
4211013088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Forøgelse af finansiel gæld	-87599.0	-91900.3	-87915.7	0.0	0.0	0.0
4211012084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Nedbringelse af finansiel gæld	43382.0	35150.0	38080.0	0.0	0.0	0.0
4211012088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Forøgelse af finansiel gæld	-36540.0	-25478.0	0.0	0.0	0.0	0.0
4211011084	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Nedbringelse af finansiel gæld	57743.9	54461.8	29613.8	0.0	0.0	0.0
4211011088	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Forøgelse af finansiel gæld	-57460.0	-44948.0	-20049.2	0.0	0.0	0.0
4131021081	Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Valutakursreg. på udenl. genudlån	Udenlandske genudlån	Udlån m.v.	0.0	0.0	8.0	0.0	0.0	0.0
4131011084	Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Nedbringelse af finansiel gæld	1950.6	1302.2	1842.0	0.0	0.0	0.0
4131011088	Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Forøgelse af finansiel gæld	-1897.3	-1312.5	-1878.6	0.0	0.0	0.0
4122011098	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Regnskabstekniske konti	774.4	0.0	0.0	0.0	0.0	0.0
4121031098	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Mellemregning med fonde	Mellemregning med fonde	Regnskabstekniske konti	123.0	0.0	0.0	0.0	0.0	0.0
4121017071	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Statens Forsknings- og Udd.bygn.	Interne statslige overførselsudgifter	558.6	503.2	572.5	0.0	0.0	0.0
4121017076	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Statens Forsknings- og Udd.bygn.	Interne statslige overførselsindtægter	-601.1	-328.2	-377.1	0.0	0.0	0.0
4121016071	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Slots- og Ejendomsstyrelsen	Interne statslige overførselsudgifter	140.7	62.4	27.4	0.0	0.0	0.0
4121016076	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Slots- og Ejendomsstyrelsen	Interne statslige overførselsindtægter	-163.9	-109.1	-38.9	0.0	0.0	0.0
4121014097	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensæt vedr. afgivne statsforskrivninger	Ændring af kortfristet gæld (kreditorer)	587.4	-7.4	90.0	0.0	0.0	0.0
4121013097	Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensæt. vedr afgivne tilsagn	Ændring af kortfristet gæld (kreditorer)	-1191.0	1025.3	2254.1	0.0	0.0	0.0
